Path	Class	Reason
reports/publication-readiness/learner-export-audit.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-accessibility-checklist.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-baseline-case-assessment.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-browser-qa-observations.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-build-integrity-summary.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-clinical-evidence-audit.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-condition-review-pack.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-CRITICAL-INDEPENDENT-REVIEW-ADOPTION.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-external-link-manual-review.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-FINAL-20-CONDITION-HUMAN-CONFIRMATION.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-FINAL-20-CONDITION-HUMAN-CONFIRMATION.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-FINAL-HUMAN-EVIDENCE-DECISIONS.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-FINAL-HUMAN-EVIDENCE-DECISIONS.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-governance-migration.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-HUMAN-CLINICAL-EVIDENCE-REVIEW.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-HUMAN-CLINICAL-EVIDENCE-REVIEW.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-MAJOR-INDEPENDENT-REVIEW-ADOPTION.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-manual-qa-checklist.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-PRIORITY-A-CLAIM-REVIEW.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/V1-PRIORITY-A-CLAIM-REVIEW.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/publication-readiness/v1-publication-scope.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/release/exact-revision-review-matrix.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/release/maintenance-status.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/release/release-candidate-summary.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/release/release-candidate.json	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/reviews/pre-commit-v1-baseline/CHANGED_FILES.txt	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/reviews/pre-commit-v1-baseline/COMMIT_PLAN.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/reviews/pre-commit-v1-baseline/DIFF_STAT.txt	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/reviews/pre-commit-v1-baseline/STATUS.md	B	Deterministic governance, review, inventory, release, or public-safe generated record.
reports/reviews/pre-commit-v1-baseline/VALIDATION.txt	B	Deterministic governance, review, inventory, release, or public-safe generated record.
scripts/apply-v1-critical-independent-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/apply-v1-major-independent-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/audit-learner-export.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/check-accessibility-smoke.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/check-external-links-live.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/clinical-platform/test-anatomy-3d.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/clinical-platform/test-anatomy-candidates.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/generate-v1-final-condition-confirmation.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/generate-v1-final-human-evidence-decisions.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/generate-v1-human-clinical-evidence-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/generate-v1-priority-a-claim-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/generate-v1-publication-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/private-review-portal/check-public-private-separation.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/private-review-portal/inspect-glb.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/private-review-portal/test-portal.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-learner-export-audit.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-search-engine.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-search-indexing.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-clinical-evidence-audit.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-critical-independent-review-adoption.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-final-condition-confirmation.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-final-human-evidence-decisions.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-human-clinical-evidence-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-major-independent-review-adoption.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-priority-a-claim-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
scripts/test-v1-publication-review.mjs	C	Generator, validator, regression test, or npm gate wiring.
src/components/layout/Header.tsx	A	Intended clinical, private-review, governance-source, or learner implementation.
src/components/mdx/MDXComponents.tsx	A	Intended clinical, private-review, governance-source, or learner implementation.
src/lib/search.ts	A	Intended clinical, private-review, governance-source, or learner implementation.
docs/reviews/current/platform-v2-independent-review/	F	Protected untracked historical review evidence; excluded and not inspected.
